Harvest,Species,Treatment,Tag,Pot,Week,Height
3,VE,4%,H3VE4,95,1,32
3,VE,4%,H3VE4,98,1,0
3,VE,4%,H3VE4,104,1,46
3,VE,4%,H3VE4,109,1,0
3,VE,4%,H3VE4,115,1,22
3,VE,4%,H3VE4,119,1,9
3,VE,4%,H3VE4,171,1,0
3,VE,4%,H3VE4,189,1,0
3,VE,4%,H3VE4,95,2,41
3,VE,4%,H3VE4,98,2,11
3,VE,4%,H3VE4,104,2,55
3,VE,4%,H3VE4,109,2,11
3,VE,4%,H3VE4,115,2,31
3,VE,4%,H3VE4,119,2,30
3,VE,4%,H3VE4,171,2,9
3,VE,4%,H3VE4,189,2,9
3,VE,4%,H3VE4,95,3,56
3,VE,4%,H3VE4,98,3,23
3,VE,4%,H3VE4,104,3,56
3,VE,4%,H3VE4,109,3,33
3,VE,4%,H3VE4,115,3,30
3,VE,4%,H3VE4,119,3,33
3,VE,4%,H3VE4,171,3,23
3,VE,4%,H3VE4,189,3,18
3,VE,4%,H3VE4,95,4,42
3,VE,4%,H3VE4,98,4,53
3,VE,4%,H3VE4,104,4,51
3,VE,4%,H3VE4,109,4,42
3,VE,4%,H3VE4,115,4,49
3,VE,4%,H3VE4,119,4,44
3,VE,4%,H3VE4,171,4,40
3,VE,4%,H3VE4,189,4,24
3,VE,4%,H3VE4,95,5,71
3,VE,4%,H3VE4,98,5,69
3,VE,4%,H3VE4,104,5,59
3,VE,4%,H3VE4,109,5,52
3,VE,4%,H3VE4,115,5,67
3,VE,4%,H3VE4,119,5,50
3,VE,4%,H3VE4,171,5,60
3,VE,4%,H3VE4,189,5,42
3,VE,4%,H3VE4,95,6,65
3,VE,4%,H3VE4,98,6,60
3,VE,4%,H3VE4,104,6,55
3,VE,4%,H3VE4,109,6,60
3,VE,4%,H3VE4,115,6,70
3,VE,4%,H3VE4,119,6,58
3,VE,4%,H3VE4,171,6,54
3,VE,4%,H3VE4,189,6,43
3,VE,4%,H3VE4,95,7,68
3,VE,4%,H3VE4,98,7,56
3,VE,4%,H3VE4,104,7,65
3,VE,4%,H3VE4,109,7,61
3,VE,4%,H3VE4,115,7,74
3,VE,4%,H3VE4,119,7,54
3,VE,4%,H3VE4,171,7,63
3,VE,4%,H3VE4,189,7,50
3,VE,4%,H3VE4,95,8,66
3,VE,4%,H3VE4,98,8,59
3,VE,4%,H3VE4,104,8,63
3,VE,4%,H3VE4,109,8,65
3,VE,4%,H3VE4,115,8,82
3,VE,4%,H3VE4,119,8,53
3,VE,4%,H3VE4,171,8,62
3,VE,4%,H3VE4,189,8,54
3,VE,4%,H3VE4,95,9,73
3,VE,4%,H3VE4,98,9,69
3,VE,4%,H3VE4,104,9,73
3,VE,4%,H3VE4,109,9,65
3,VE,4%,H3VE4,115,9,84
3,VE,4%,H3VE4,119,9,70
3,VE,4%,H3VE4,171,9,63
3,VE,4%,H3VE4,189,9,66
3,VE,4%,H3VE4,95,10,93
3,VE,4%,H3VE4,98,10,71
3,VE,4%,H3VE4,104,10,95
3,VE,4%,H3VE4,109,10,73
3,VE,4%,H3VE4,115,10,100
3,VE,4%,H3VE4,119,10,93
3,VE,4%,H3VE4,171,10,89
3,VE,4%,H3VE4,189,10,79
3,VE,4%,H3VE4,95,11,105
3,VE,4%,H3VE4,98,11,116
3,VE,4%,H3VE4,104,11,130
3,VE,4%,H3VE4,109,11,101
3,VE,4%,H3VE4,115,11,107
3,VE,4%,H3VE4,119,11,121
3,VE,4%,H3VE4,171,11,131
3,VE,4%,H3VE4,189,11,96
3,VE,4%,H3VE4,95,12,137
3,VE,4%,H3VE4,98,12,136
3,VE,4%,H3VE4,104,12,142
3,VE,4%,H3VE4,109,12,98
3,VE,4%,H3VE4,115,12,130
3,VE,4%,H3VE4,119,12,132
3,VE,4%,H3VE4,171,12,145
3,VE,4%,H3VE4,189,12,112
3,VE,4%,H3VE4,95,13,145
3,VE,4%,H3VE4,98,13,147
3,VE,4%,H3VE4,104,13,162
3,VE,4%,H3VE4,109,13,102
3,VE,4%,H3VE4,115,13,158
3,VE,4%,H3VE4,119,13,138
3,VE,4%,H3VE4,171,13,149
3,VE,4%,H3VE4,189,13,120
3,VE,4%,H3VE4,95,14,160
3,VE,4%,H3VE4,98,14,155
3,VE,4%,H3VE4,104,14,168
3,VE,4%,H3VE4,109,14,118
3,VE,4%,H3VE4,115,14,166
3,VE,4%,H3VE4,119,14,147
3,VE,4%,H3VE4,171,14,179
3,VE,4%,H3VE4,189,14,130
3,VE,4%,H3VE4,95,15,149
3,VE,4%,H3VE4,98,15,161
3,VE,4%,H3VE4,104,15,186
3,VE,4%,H3VE4,109,15,120
