number,species,lat,long
1,V. sieberiana,32.73,-117.17
1,V. sieberiana,14.557222,-17.113889
1,V. sieberiana,14.48504,-17.07461
1,V. sieberiana,14.898889,-17.062222
1,V. sieberiana,14.898889,-17.062222
1,V. sieberiana,14.61667,-17.03333
1,V. sieberiana,14.76131,-17.02739
1,V. sieberiana,15,-16.95
1,V. sieberiana,16.666667,-16.95
1,V. sieberiana,14.8,-16.933333
1,V. sieberiana,14.266667,-16.9
1,V. sieberiana,14.2,-16.866667
1,V. sieberiana,14.2,-16.866667
1,V. sieberiana,14.15,-16.766667
1,V. sieberiana,15.0065,-16.73694
1,V. sieberiana,13.666,-16.5
1,V. sieberiana,16.018,-16.489
1,V. sieberiana,13.616667,-16.483333
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.466667
1,V. sieberiana,13.65,-16.45
1,V. sieberiana,15.3,-16.45
1,V. sieberiana,15.37634,-16.44648
1,V. sieberiana,13.65306,-16.44611
1,V. sieberiana,16.0825,-16.40972
1,V. sieberiana,16.0825,-16.40972
1,V. sieberiana,16.4,-16.383333
1,V. sieberiana,14.466667,-16.3
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.27743,-16.13898
1,V. sieberiana,16.2801,-16.13892
1,V. sieberiana,16.273,-16.138
1,V. sieberiana,16.266667,-16.133333
1,V. sieberiana,16.45888,-15.69405
1,V. sieberiana,16.510278,-15.654444
1,V. sieberiana,16.510278,-15.654444
1,V. sieberiana,12.73111,-15.52849
1,V. sieberiana,16.53333,-15.41667
1,V. sieberiana,12.82095,-15.22491
1,V. sieberiana,16.66216,-14.97418
1,V. sieberiana,16.66006,-14.95933
1,V. sieberiana,12.91556,-14.94827
1,V. sieberiana,16.59854,-14.93574
1,V. sieberiana,12.833333,-14.9
1,V. sieberiana,12.833333,-14.9
1,V. sieberiana,16.583,-14.87
1,V. sieberiana,16.56478,-14.83891
1,V. sieberiana,16.54832,-14.83753
1,V. sieberiana,16.54832,-14.83753
1,V. sieberiana,12.833333,-14.833333
1,V. sieberiana,12.833333,-14.833333
1,V. sieberiana,16.583333,-14.266667
1,V. sieberiana,14.2,-13.93333
1,V. sieberiana,16.016667,-13.566667
1,V. sieberiana,12.983333,-13.416667
1,V. sieberiana,12.983,-13.416
1,V. sieberiana,15.65583,-13.25528
1,V. sieberiana,15.6561,-13.24677
1,V. sieberiana,15.683333,-13.183333
1,V. sieberiana,13.0075,-12.914444
1,V. sieberiana,15.07643,-12.81554
1,V. sieberiana,15.07643,-12.81554
1,V. sieberiana,15.124722,-12.72
1,V. sieberiana,15.124722,-12.72
1,V. sieberiana,14.90267,-12.46385
1,V. sieberiana,12.836111,-12.366944
1,V. sieberiana,12.366,-12.316
1,V. sieberiana,15.034444,-12.300278
1,V. sieberiana,15.034444,-12.300278
1,V. sieberiana,15.034444,-12.300278
1,V. sieberiana,15.034444,-12.300278
1,V. sieberiana,15.034444,-12.300278
1,V. sieberiana,12.87834,-12.25234
1,V. sieberiana,13.260278,-12.105278
1,V. sieberiana,14.45893,-11.44363
1,V. sieberiana,13.80926,-10.83457
1,V. sieberiana,14,-9.55
1,V. sieberiana,13.71333,-9.54694
1,V. sieberiana,13.03411,-9.4895
1,V. sieberiana,13.03411,-9.4895
1,V. sieberiana,12.96364,-8.98803
1,V. sieberiana,12.96364,-8.98803
1,V. sieberiana,12.63923,-8.00289
1,V. sieberiana,12.63923,-8.00289
1,V. sieberiana,12.64616,-7.92362
1,V. sieberiana,10.78333,-7.8
1,V. sieberiana,12.92374,-7.55618
1,V. sieberiana,10.89052,-7.43814
1,V. sieberiana,10.516667,-6.466667
1,V. sieberiana,11.26392,-6.4231
1,V. sieberiana,10.55,-6.3
1,V. sieberiana,9.833333,-6.25
1,V. sieberiana,9.866667,-6.233333
1,V. sieberiana,9.816667,-6.133333
1,V. sieberiana,9.53647,-6.01004
1,V. sieberiana,11.74481,-5.94361
1,V. sieberiana,13.983333,-5.633333
1,V. sieberiana,10.19774,-5.62214
1,V. sieberiana,13.916667,-5.616667
1,V. sieberiana,13.95,-5.6
1,V. sieberiana,13.85,-5.583333
1,V. sieberiana,13.96081,-5.5158
1,V. sieberiana,13.96028,-5.51528
1,V. sieberiana,13.96934,-5.50964
1,V. sieberiana,13.96284,-5.35994
1,V. sieberiana,13.98071,-5.31189
1,V. sieberiana,8.80611,-5.16333
1,V. sieberiana,11.283333,-4.95
1,V. sieberiana,11.283333,-4.95
1,V. sieberiana,11.283333,-4.95
1,V. sieberiana,10.2,-4.933333
1,V. sieberiana,11.6,-4.85
1,V. sieberiana,11.6,-4.85
1,V. sieberiana,11.566667,-4.833333
1,V. sieberiana,11.6,-4.833333
1,V. sieberiana,11.616667,-4.833333
1,V. sieberiana,11.633333,-4.833333
1,V. sieberiana,11.616667,-4.816667
1,V. sieberiana,9.17298,-4.81487
1,V. sieberiana,11.633333,-4.766667
1,V. sieberiana,11.65,-4.766667
1,V. sieberiana,11.075917,-4.753333
1,V. sieberiana,11.616667,-4.75
1,V. sieberiana,11.075167,-4.745383
1,V. sieberiana,10.633333,-4.683333
1,V. sieberiana,10.6,-4.55
1,V. sieberiana,10.6,-4.55
1,V. sieberiana,10.616667,-4.533333
1,V. sieberiana,10.8,-4.533333
1,V. sieberiana,10.8,-4.533333
1,V. sieberiana,10.833333,-4.516667
1,V. sieberiana,11.66764,-4.46152
1,V. sieberiana,14.4,-4.38333
1,V. sieberiana,10.933333,-4.366667
1,V. sieberiana,10.933333,-4.366667
1,V. sieberiana,10.9,-4.35
1,V. sieberiana,10.666667,-4.283333
1,V. sieberiana,10.683333,-4.283333
1,V. sieberiana,11.966667,-4.25
1,V. sieberiana,15.01134,-4.23258
1,V. sieberiana,15.78057,-4.20287
1,V. sieberiana,9.283333,-4.2
1,V. sieberiana,10.666667,-4.2
1,V. sieberiana,9.266667,-4.183333
1,V. sieberiana,9.266667,-4.183333
1,V. sieberiana,9.266667,-4.166667
1,V. sieberiana,9.283333,-4.166667
1,V. sieberiana,11.016667,-4.166667
1,V. sieberiana,11.033333,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.116667,-4.166667
1,V. sieberiana,11.133333,-4.166667
1,V. sieberiana,11.133333,-4.166667
1,V. sieberiana,11.133333,-4.166667
1,V. sieberiana,11.133333,-4.166667
1,V. sieberiana,11.533333,-4.166667
1,V. sieberiana,11.557083,-4.150883
1,V. sieberiana,11.75,-4.15
1,V. sieberiana,12.73333,-4.13333
1,V. sieberiana,10.916667,-4.083333
1,V. sieberiana,10.933333,-4.083333
1,V. sieberiana,11.866667,-4.083333
1,V. sieberiana,11.5,-4
1,V. sieberiana,17.57069,-3.99617
1,V. sieberiana,5.26585,-3.93579
1,V. sieberiana,8.7,-3.85
1,V. sieberiana,8.716667,-3.85
1,V. sieberiana,8.733333,-3.833333
1,V. sieberiana,8.733333,-3.833333
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.733333,-3.816667
1,V. sieberiana,8.75,-3.816667
1,V. sieberiana,8.733333,-3.8
1,V. sieberiana,8.75,-3.8
1,V. sieberiana,12.4,-3.8
1,V. sieberiana,8.666667,-3.783333
1,V. sieberiana,8.666667,-3.783333
1,V. sieberiana,8.666667,-3.783333
1,V. sieberiana,8.65383,-3.78288
1,V. sieberiana,12.35,-3.683333
1,V. sieberiana,9.19186,-3.52722
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.332361,-3.413694
1,V. sieberiana,14.46379,-3.30616
1,V. sieberiana,14.51217,-3.27609
1,V. sieberiana,10.083333,-3.266667
1,V. sieberiana,9.27166,-2.99256
1,V. sieberiana,8.711235,-2.985352
1,V. sieberiana,11.75,-2.933
1,V. sieberiana,10.65,-2.866667
1,V. sieberiana,11.016667,-2.783333
1,V. sieberiana,13.45,-2.55
1,V. sieberiana,10.39,-2.52
1,V. sieberiana,13.066667,-2.433333
1,V. sieberiana,8.166667,-2.366667
1,V. sieberiana,13.483333,-2.333333
1,V. sieberiana,8.153333,-2.3
1,V. sieberiana,8.153333,-2.3
1,V. sieberiana,13.65,-2.3
1,V. sieberiana,8.25,-2.27
1,V. sieberiana,11.421944,-2.261111
1,V. sieberiana,8.1,-2.22
1,V. sieberiana,11.45,-2.216667
1,V. sieberiana,7.875,-2.125
