decimalLatitude,decimalLongitude
-37.783333,174.9
-34.36951,21.41333
-34.040007,18.810083
-33.99059,18.43165
-33.973254,18.478423
-33.945431,18.483862
-33.921477,18.922704
-30.404468,31.026098
-30.404468,31.026098
-30.404468,31.026098
-30.404468,31.026098
-30.301216,30.742784
-30.3012,30.7427
-30.29948,30.74273
-29.875,30.875
-29.745219,31.043094
-29.627332,30.402319
-29.625,30.375
-29.625,29.875
-29.625,30.875
-29.625,30.375
-29.625,30.375
-29.625,30.375
-29.625,30.375
-29.625,30.375
-29.625,30.375
-29.625,30.375
-29.625,30.375
-29.625,30.375
-29.625,30.875
-29.625,30.875
-29.625,30.875
-29.625,30.875
-29.625,30.875
-29.625,30.875
-29.625,30.875
-29.625,30.625
-29.625,30.625
-29.625,29.875
-29.625,30.875
-29.625,30.625
-29.625,30.875
-29.625,30.375
-29.625,30.875
-29.625,30.375
-29.625,30.875
-29.625,30.875
-29.625,30.375
-29.625,30.875
-29.625,30.375
-29.625,30.875
-29.625,30.375
-29.47861,30.2654
-29.375,30.125
-29.375,31.375
-29.375,30.875
-29.375,30.125
-29.375,30.125
-29.375,31.125
-29.375,30.875
-29.375,30.875
-29.375,31.375
-29.375,31.375
-29.375,30.125
-29.375,30.125
-29.375,30.125
-29.375,31.375
-29.375,31.375
-29.375,29.375
-29.35777,30.52647
-29.125,29.625
-29.125,30.875
-29.125,29.875
-29.125,30.875
-29.125,29.875
-29.125,29.875
-29.125,29.625
-29.125,31.375
-29.125,31.375
-29.0441,29.8398
-28.875,31.875
-28.875,31.375
-28.875,31.875
-28.875,29.375
-28.875,31.375
-28.875,29.375
-28.875,31.375
-28.875,31.875
-28.875,29.375
-28.875,31.375
-28.875,31.875
-28.875,30.875
-28.866667,29.85
-28.663013,29.031317
-28.625,31.625
-28.625,31.625
-28.625,29.375
-28.625,31.125
-28.625,29.875
-28.625,29.375
-28.625,29.875
-28.625,31.625
-28.625,31.625
-28.625,29.875
-28.625,30.875
-28.625,30.375
-28.625,29.875
-28.625,29.875
-28.55967,29.78079
-28.375,29.375
-28.375,31.875
-28.375,29.375
-28.144659,32.047119
-28.125,30.125
-28.125,30.125
-28.125,30.125
-28.125,30.125
-28.125,31.875
-28.125,32.125
-28.125,32.125
-27.875,30.625
-27.875,29.875
-27.875,31.375
-27.875,29.875
-27.776432,30.843699
-27.625,30.125
-27.625,31.625
-27.625,30.125
-27.125,31.875
-26.375,31.375
-26.375,31.125
-26.375,31.125
-26.0067,28.149667
-25.977944,27.947906
-25.875,31.125
-25.875,29.375
-25.875,31.125
-25.797551,28.29809
-25.73846,28.271832
-25.66433,28.5351
-25.625,28.125
-25.625,28.125
-25.625,28.125
-25.625,28.125
-25.625,28.125
-25.625,28.125
-25.457195,30.938145
-25.444722,30.973056
