Harvest ,Species,Treatment ,Tag,Pot,Leaves_DW ,Stem_DW,AG_DW,BG_DW,Nodule,Nodules_W,Nodules_Present,Height ,R_S
1,VE,4%,H1VE4,96,0.116,0.067,0.183,0,0,0,FALSE,87,0
1,VE,4%,H1VE4,102,0.127,0.073,0.2,0.03,0,0,FALSE,79,0.15
1,VE,4%,H1VE4,103,0.095,0.061,0.156,0.063,0,0,FALSE,62,0.403846154
1,VE,4%,H1VE4,106,0.059,0.064,0.123,0,0,0,FALSE,47,0
1,VE,4%,H1VE4,110,0.067,0.048,0.115,0.006,0,0,FALSE,66,0.052173913
1,VE,4%,H1VE4,117,0.109,0.061,0.17,0.032,0,0,FALSE,66,0.188235294
1,VE,4%,H1VE4,124,0.126,0.046,0.172,0.033,0,0,FALSE,104,0.191860465
1,VE,4%,H1VE4,181,0.119,0.048,0.167,0.027,0,0,FALSE,81,0.161676647
1,VE,4%,H1VE4,194,0.107,0.06,0.167,0.027,0,0,FALSE,81,0.161676647
1,VE,4%,H1VE4,203,0.115,0.069,0.184,0.026,0,0,FALSE,92,0.141304348
1,VE,4%,H1VE4,299,0.082,0.051,0.133,0.027,0,0,FALSE,62,0.203007519
1,VE,8%,H1VE8,94,0.112,0.072,0.184,0.091,0,0,FALSE,110,0.494565217
1,VE,8%,H1VE8,127,0.145,0.083,0.228,0.051,0,0,FALSE,124,0.223684211
1,VE,8%,H1VE8,140,0.095,0.058,0.153,0.042,0,0,FALSE,72,0.274509804
1,VE,8%,H1VE8,144,0.189,0.09,0.279,0.06,0,0,FALSE,124,0.215053763
1,VE,8%,H1VE8,147,0.028,0.039,0.067,0.019,0,0,FALSE,60,0.28358209
1,VE,8%,H1VE8,151,0.12,0.07,0.19,0.046,0,0,FALSE,91,0.242105263
1,VE,8%,H1VE8,155,0.152,0.086,0.238,0.069,0,0,FALSE,142,0.289915966
1,VE,8%,H1VE8,165,0.12,0.055,0.175,0.05,0,0,FALSE,104,0.285714286
1,VE,8%,H1VE8,243,0.113,0.051,0.164,0.016,0,0,FALSE,109,0.097560976
1,VE,8%,H1VE8,248,0.102,0.056,0.158,0.02,0,0,FALSE,93,0.126582278
1,VE,8%,H1VE8,287,0.125,0.071,0.196,0.028,0,0,FALSE,130,0.142857143
1,VE,16%,H1VE16,121,0.096,0.071,0.167,0.022,0,0,FALSE,90,0.131736527
1,VE,16%,H1VE16,137,0.122,0.085,0.207,0.05,0,0,FALSE,70,0.241545894
1,VE,16%,H1VE16,141,0.283,0.035,0.318,0.025,0,0,FALSE,62,0.078616352
1,VE,16%,H1VE16,168,0.099,0.052,0.151,0.017,0,0,FALSE,104,0.112582781
1,VE,16%,H1VE16,169,0.126,0.07,0.196,0.026,0,0,FALSE,76,0.132653061
1,VE,16%,H1VE16,172,0.092,0.07,0.162,0.031,0,0,FALSE,109,0.191358025
1,VE,16%,H1VE16,174,0.11,0.1,0.21,0.031,0,0,FALSE,112,0.147619048
1,VE,16%,H1VE16,182,0.143,0.073,0.216,0.053,0,0,FALSE,109,0.24537037
1,VE,16%,H1VE16,183,0.082,0.03,0.112,0.029,0,0,FALSE,107,0.258928571
1,VE,16%,H1VE16,184,0.139,0.06,0.199,0.028,0,0,FALSE,84,0.140703518
1,VE,16%,H1VE16,188,0.071,0.04,0.111,0.02,0,0,FALSE,76,0.18018018
1,VS,4%,H1VS4,3,0.111,0.076,0.187,0.119,0,0,FALSE,107,0.636363636
1,VS,4%,H1VS4,9,0.084,0.07,0.154,0.061,0,0,FALSE,129,0.396103896
1,VS,4%,H1VS4,17,0.093,0.071,0.164,0.095,0,0,FALSE,133,0.579268293
1,VS,4%,H1VS4,23,0.126,0.102,0.228,0.146,0,0,FALSE,170,0.640350877
1,VS,4%,H1VS4,57,0.033,0.043,0.076,0.042,0,0,FALSE,100,0.552631579
1,VS,4%,H1VS4,69,0.086,0.058,0.144,0.074,0,0,FALSE,112,0.513888889
1,VS,4%,H1VS4,70,0.11,0.1,0.21,0.151,0,0,FALSE,144,0.719047619
1,VS,4%,H1VS4,71,0.06,0.054,0.114,0.059,0,0,FALSE,145,0.51754386
1,VS,4%,H1VS4,102,0.016,0.024,0.04,0.013,0,0,FALSE,60,0.325
1,VS,4%,H1VS4,112,0.032,0.044,0.076,0.042,0,0,FALSE,66,0.552631579
1,VS,4%,H1VS4,127,0.063,0.043,0.106,0.027,0,0,FALSE,108,0.254716981
1,VS,8%,H1VS8,26,0.126,0.133,0.259,0.095,11,0.002,TRUE,200,0.366795367
1,VS,8%,H1VS8,32,0.129,0.096,0.225,0.094,0,0,FALSE,160,0.417777778
1,VS,8%,H1VS8,36,0.07,0.078,0.148,0.056,3,0.003,TRUE,140,0.378378378
1,VS,8%,H1VS8,39,0.063,0.064,0.127,0.051,0,0,FALSE,110,0.401574803
1,VS,8%,H1VS8,52,0.061,0.06,0.121,0.057,4,0.001,TRUE,117,0.47107438
1,VS,8%,H1VS8,53,0.083,0.084,0.167,0.074,0,0,FALSE,139,0.443113772
1,VS,8%,H1VS8,56,0.073,0.087,0.16,0.065,0,0,FALSE,149,0.40625
1,VS,8%,H1VS8,59,0.079,0.067,0.146,0.044,0,0,FALSE,152,0.301369863
1,VS,8%,H1VS8,64,0.059,0.043,0.102,0.024,0,0,FALSE,192,0.235294118
1,VS,8%,H1VS8,114,0.054,0.04,0.094,0.025,0,0,FALSE,105,0.265957447
1,VS,8%,H1VS8,60-2,0.139,0.119,0.258,0.112,0,0,FALSE,100,0.434108527
1,VS,16%,H1VS16,29,0.043,0.074,0.117,0.043,0,0,FALSE,147,0.367521368
1,VS,16%,H1VS16,33,0.121,0.093,0.214,0.126,0,0,FALSE,145,0.588785047
1,VS,16%,H1VS16,54,0.063,0.087,0.15,0.057,0,0,FALSE,93,0.38
1,VS,16%,H1VS16,73,0.041,0.021,0.062,0.01,0,0,FALSE,71,0.161290323
1,VS,16%,H1VS16,74,0.062,0.058,0.12,0.056,0,0,FALSE,125,0.466666667
1,VS,16%,H1VS16,79,0.04,0.26,0.3,0.025,0,0,FALSE,65,0.083333333
1,VS,16%,H1VS16,82,0.056,0.04,0.096,0.034,0,0,FALSE,75,0.354166667
1,VS,16%,H1VS16,84,0.088,0.05,0.138,0.038,0,0,FALSE,120,0.275362319
1,VS,16%,H1VS16,93,0.038,0.023,0.061,0.025,0,0,FALSE,40,0.409836066
1,VS,16%,H1VS16,107,0.06,0.041,0.101,0.036,0,0,FALSE,93,0.356435644
1,VS,16%,H1VS16,109,0.057,0.038,0.095,0.038,0,0,FALSE,106,0.4
2,VE,4%,H2VE4,91,0.12,0.094,0.214,0.055,0,0,FALSE,173,0.257009346
2,VE,4%,H2VE4,93,0,0,0,0,0,0,FALSE,120,0
2,VE,4%,H2VE4,108,0.106,0.074,0.18,0.178,0,0,FALSE,107,0.988888889
2,VE,4%,H2VE4,109,0,0,0,0,0,0,FALSE,123,0
2,VE,4%,H2VE4,157,0.206,0.14,0.346,0.091,0,0,FALSE,174,0.26300578
2,VE,4%,H2VE4,194,0,0,0,0.029,0,0,FALSE,0,0
2,VE,4%,H2VE4,197,0.107,0.048,0.155,0.038,0,0,FALSE,120,0.24516129
2,VE,4%,H2VE4,198,0.151,0.098,0.249,0.065,0,0,FALSE,135,0.261044177
2,VE,4%,H2VE4,199,0.173,0.138,0.311,0.107,0,0,FALSE,168,0.344051447
2,VE,4%,H2VE4,201,0.074,0.065,0.139,0.045,0,0,FALSE,112,0.323741007
2,VE,4%,H2VE4,208,0.137,0.098,0.235,0.115,0,0,FALSE,129,0.489361702
2,VE,4%,H2VE4,227,0.08,0.056,0.136,0.034,0,0,FALSE,120,0.25
2,VE,4%,H2VE4,278,0.097,0.092,0.189,0.09,0,0,FALSE,106,0.476190476
2,VE,4%,H2VE4,340,0.174,0.131,0.305,0.068,0,0,FALSE,154,0.22295082
2,VE,8%,H2VE8,120,0.188,0.115,0.303,0.077,0,0,FALSE,149,0.254125413
2,VE,8%,H2VE8,128,0.209,0.121,0.33,0.122,0,0,FALSE,129,0.36969697
2,VE,8%,H2VE8,134,0.175,0.169,0.344,0.087,0,0,FALSE,168,0.252906977
2,VE,8%,H2VE8,139,0.189,0.127,0.316,0.144,0,0,FALSE,152,0.455696203
2,VE,8%,H2VE8,143,0.189,0.126,0.315,0.059,0,0,FALSE,132,0.187301587
2,VE,8%,H2VE8,145,0.175,0.146,0.321,0.094,0,0,FALSE,165,0.292834891
2,VE,8%,H2VE8,152,0.152,0.102,0.254,0.092,0,0,FALSE,146,0.362204724
2,VE,8%,H2VE8,158,0.185,0.107,0.292,0.101,0,0,FALSE,161,0.345890411
2,VE,8%,H2VE8,190,0.229,0.163,0.392,0.134,0,0,FALSE,173,0.341836735
2,VE,8%,H2VE8,207,0.182,0.133,0.315,0.067,0,0,FALSE,132,0.212698413
2,VE,16%,H2VE16,122,0.135,0.104,0.239,0.152,0,0,FALSE,138,0.635983264
2,VE,16%,H2VE16,142,0.17,0.112,0.282,0.09,0,0,FALSE,145,0.319148936
2,VE,16%,H2VE16,162,0.189,0.142,0.331,0.101,0,0,FALSE,191,0.305135952
